Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
google map xem phố,31,31,70,65,0.05,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.02,106,"3, 3, 3, 6, 3, 3, 3, 3, 100, 34, 53, 53",2026-07-09,"Reviews, Video, Related searches","navigational, transactional",Organic
xem pho,21,21,320,32,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0,122,"54, 100, 100, 54, 54, 44, 54, 44, 81, 54, 67, 81",2026-07-30,"Reviews, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
mua đánh giá google,42,55,110,6,0.44,https://brando.vn/dich-vu-google-map/dich-vu-review-google-map/,0,0,0.00,0.16,103,"82, 100, 65, 65, 82, 53, 53, 41, 41, 53, 65, 82",2026-08-09,"Reviews, Video, Related searches, AI overview",informational,Organic
google map chế độ xem phố,17,17,140,52,0.03,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.06,106,"5, 5, 100, 18, 18, 18, 18, 10, 100, 67, 54, 54",2026-06-13,"Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
quảng cáo booking,1,1,30,13,0.00,https://brando.vn/bang-gia-quang-cao-bao-24h/,0,0,0.00,0.24,106,"71, 14, 57, 14, 57, 43, 57, 57, 14, 14, 14, 100",2026-07-21,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
quảng cáo booking,1,1,30,13,0.00,https://brando.vn/bang-gia-quang-cao-bao-brands-vietnam/,0,0,0.00,0.24,106,"71, 14, 57, 14, 57, 43, 57, 57, 14, 14, 14, 100",2026-07-21,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
dịch vụ review google map,28,28,260,5,0.48,https://brando.vn/dich-vu-google-map/dich-vu-review-google-map/,0,0,0.00,0.06,103,"7, 15, 15, 100, 81, 36, 66, 36, 36, 29, 66, 81",2026-07-31,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
dịch vụ review google map,31,31,260,5,0.48,https://brando.vn/dich-vu-google-map/dich-vu-review-google-map/,0,0,0.00,0.06,103,"7, 15, 15, 100, 81, 36, 66, 36, 36, 29, 66, 81",2026-07-31,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
cách sử dụng google street view,16,16,30,37,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.33,32,"18, 100, 45, 9, 18, 9, 36, 9, 27, 18, 9, 36",2026-06-30,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
google xem phố,18,18,110,67,1.33,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.13,127,"4, 4, 4, 1, 1, 1, 1, 1, 100, 4, 19, 54",2026-06-22,"Sitelinks, Reviews, Video, Related searches",navigational,Organic
xe google street view,14,14,170,25,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.33,131,"11, 100, 8, 5, 7, 4, 4, 4, 5, 4, 8, 11",2026-06-22,"Image pack, Reviews, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
xe google street view,20,20,170,25,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.33,131,"11, 100, 8, 5, 7, 4, 4, 4, 5, 4, 8, 11",2026-06-22,"Image pack, Reviews, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
su dung google map,34,34,40,42,0.03,https://brando.vn/google-map-la-gi/,0,0,0.00,0.03,101,"100, 5, 5, 5, 5, 5, 10, 33, 5, 5, 5, 52",2026-06-29,"Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
bao gia quang cao,1,1,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-brands-vietnam/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,AI overview
bao gia quang cao,9,9,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-brands-vietnam/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,Organic
bao gia quang cao,11,11,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-24h/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,Organic
bao gia quang cao,29,29,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-thanh-hoa/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,Organic
bao gia quang cao,55,55,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-hang-hoa-thuong-hieu/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,Organic
bao gia quang cao,65,65,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-tien-phong/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,Organic
bao gia quang cao,68,68,30,20,0.00,https://brando.vn/bang-gia-quang-cao-bao-ha-noi-moi/,0,0,0.00,0.57,140,"33, 11, 11, 100, 11, 44, 11, 33, 56, 11, 78, 11",2026-08-06,"Reviews, Video, Related searches, AI overview",informational,Organic
dịch vụ đánh giá google,60,60,30,3,0.30,https://brando.vn/dich-vu-google-map/dich-vu-review-google-map/,0,0,0.00,0.12,121,"14, 36, 7, 100, 7, 14, 7, 29, 7, 7, 7, 7",2026-06-18,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
brandam,28,28,30,38,0.00,https://brando.vn/,0,0,0.00,0.33,110,"22, 11, 11, 56, 11, 22, 22, 100, 33, 33, 22, 22",2026-07-07,"Knowledge panel, Image pack, Reviews, Video, Related searches, AI overview",informational,Organic
chế độ xem phố google map,35,23,140,33,0.07,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.03,103,"34, 28, 66, 22, 34, 44, 44, 22, 100, 44, 44, 34",2026-08-09,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
bảng giá quảng cáo,34,34,30,18,0.20,https://brando.vn/bang-gia-quang-cao-bao-thi-truong-biz/,0,0,0.00,0.61,107,"14, 14, 14, 71, 43, 14, 100, 71, 29, 29, 14, 14",2026-07-04,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
bảng giá quảng cáo,79,79,30,18,0.20,https://brando.vn/bang-gia-quang-cao-bao-24h/,0,0,0.00,0.61,107,"14, 14, 14, 71, 43, 14, 100, 71, 29, 29, 14, 14",2026-07-04,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
bảng giá quảng cáo,82,82,30,18,0.20,https://brando.vn/bang-gia-quang-cao-bao-advertising-vietnam/,0,0,0.00,0.61,107,"14, 14, 14, 71, 43, 14, 100, 71, 29, 29, 14, 14",2026-07-04,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
bảng giá quảng cáo,87,87,30,18,0.20,https://brando.vn/bang-gia-quang-cao-bao-viet-nam-moi/,0,0,0.00,0.61,107,"14, 14, 14, 71, 43, 14, 100, 71, 29, 29, 14, 14",2026-07-04,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
chế độ xem phố của google maps,27,27,170,42,0.08,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.03,108,"1, 6, 12, 4, 12, 1, 7, 3, 24, 82, 100, 54",2026-06-21,"Sitelinks, Reviews, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
chế độ xem phố google earth,19,19,50,52,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.02,107,"0, 0, 100, 10, 3, 13, 3, 3, 3, 3, 3, 5",2026-06-27,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
brandp,62,62,30,23,0.00,https://brando.vn/,0,0,0.00,0,778000,"100, 71, 14, 100, 14, 14, 43, 14, 100, 14, 100, 0",2026-06-20,"Image pack, Reviews, Video, Image, Related searches",informational,Organic
brandp,91,91,30,23,0.00,https://brando.vn/lien-he/,0,0,0.00,0,778000,"100, 71, 14, 100, 14, 14, 43, 14, 100, 14, 100, 0",2026-06-20,"Image pack, Reviews, Video, Image, Related searches",informational,Organic
quảng cáo gg map,25,25,30,14,0.00,https://brando.vn/cach-chay-quang-cao-google-map-hieu-qua-huong-dan-a-z-2026/,0,0,0.00,0.08,105,"0, 0, 0, 82, 9, 36, 18, 18, 9, 36, 100, 9",2026-07-13,"Image pack, Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview","informational, transactional",Organic
báo giá 24h,11,11,40,19,0.00,https://brando.vn/bang-gia-quang-cao-bao-24h/,0,0,0.00,0.33,131,"100, 14, 14, 7, 7, 50, 21, 7, 50, 7, 14, 29",2026-07-10,"Sitelinks, Reviews, Related searches",navigational,Organic
báo giá 24h,47,47,40,19,0.00,https://brando.vn/bang-gia-quang-cao-bao-bong-ro-24h/,0,0,0.00,0.33,131,"100, 14, 14, 7, 7, 50, 21, 7, 50, 7, 14, 29",2026-07-10,"Sitelinks, Reviews, Related searches",navigational,Organic
màu sắc trên google map,15,15,30,16,0.00,https://brando.vn/y-nghia-mau-sac-tren-google-map/,0,0,0.00,0.33,106,"11, 56, 100, 11, 78, 22, 11, 11, 11, 11, 11, 11",2026-07-07,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
google map 360 độ,28,28,210,45,0.02,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.07,103,"67, 36, 24, 36, 24, 19, 19, 15, 15, 10, 24, 100",2026-06-19,"Image pack, Reviews, Video, Image, Video Carousel, Related searches",transactional,Organic
dịch vụ viết bài pr,45,45,90,6,0.00,https://brando.vn/dich-vu-booking-pr/,0,0,0.00,0.16,109,"4, 4, 0, 15, 100, 100, 42, 81, 81, 4, 4, 4",2026-07-29,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
dịch vụ guest post,30,30,210,19,0.46,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.08,105,"12, 12, 8, 36, 54, 36, 12, 12, 100, 66, 81, 19",2026-06-15,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
dịch vụ guest post,32,32,210,19,0.46,https://brando.vn/dich-vu-guest-post/,0,0,0.00,0.08,105,"12, 12, 8, 36, 54, 36, 12, 12, 100, 66, 81, 19",2026-06-15,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
24h.com.vn,54,54,368000,85,1.05,https://brando.vn/bang-gia-quang-cao-bao-24h/,0,0,0.00,0.33,0,"82, 82, 82, 82, 82, 82, 100, 67, 82, 82, 82, 100",2026-08-01,"Sitelinks, Reviews, Video, Video Carousel",navigational,Organic
phần mềm google map,40,40,90,51,0.04,https://brando.vn/google-map-la-gi/,0,0,0.00,0.23,108,"2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 100",2026-06-25,"Reviews, Video, Related searches, AI overview","commercial, informational",Organic
báo giá báo thanh niên,14,14,30,9,0.20,https://brando.vn/bang-gia-quang-cao-bao-thanh-nien/,0,0,0.00,0.13,129,"44, 11, 44, 22, 11, 11, 100, 11, 11, 11, 22, 44",2026-07-27,"Reviews, Related searches",informational,Organic
báo giá báo thanh niên,40,40,30,9,0.20,https://brando.vn/bang-gia-quang-cao-bao-brands-vietnam/,0,0,0.00,0.13,129,"44, 11, 44, 22, 11, 11, 100, 11, 11, 11, 22, 44",2026-07-27,"Reviews, Related searches",informational,Organic
báo giá báo thanh niên,53,53,30,9,0.20,https://brando.vn/bang-gia-quang-cao-bao-ha-noi-moi/,0,0,0.00,0.13,129,"44, 11, 44, 22, 11, 11, 100, 11, 11, 11, 22, 44",2026-07-27,"Reviews, Related searches",informational,Organic
dịch vụ review sản phẩm,40,40,70,9,0.00,https://brando.vn/dich-vu-toplist/,0,0,0.00,0.33,136,"1, 10, 1, 1, 1, 100, 1, 7, 1, 3, 1, 1",2026-06-17,"Sitelinks, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
sao map,31,31,30,5,0.00,https://brando.vn/google-map-la-gi/,0,0,0.00,0.33,132,"22, 11, 100, 11, 11, 100, 78, 11, 11, 11, 11, 11",2026-07-22,"Image pack, Reviews, Video, Video Carousel, Related searches","informational, transactional",Organic
google earth chế độ xem phố,20,20,140,66,0.05,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.09,107,"0, 0, 100, 44, 67, 82, 23, 18, 23, 13, 13, 10",2026-06-13,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview","informational, navigational",Organic
gobranding tuyển dụng,29,29,40,13,0.00,https://brando.vn/tuyen-dung/,0,0,0.00,0.03,109,"4, 4, 4, 4, 12, 4, 4, 15, 100, 4, 8, 4",2026-07-29,Related searches,informational,Organic
báo giá zing,39,39,30,6,0.00,https://brando.vn/bang-gia-quang-cao-bao-tien-phong/,0,0,0.00,0.07,127,"22, 33, 33, 11, 78, 22, 100, 11, 11, 11, 11, 11",2026-06-27,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
bảng giá quảng cáo trên vtv,16,16,30,1,0.00,https://brando.vn/bang-gia-quang-cao-bao-vtv/,0,0,0.00,0.05,162,"11, 22, 11, 100, 11, 11, 33, 56, 11, 33, 78, 11",2026-07-08,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
street view là gì,12,12,40,22,0.00,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.33,51,"5, 100, 33, 5, 5, 5, 5, 10, 5, 5, 14, 14",2026-06-23,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
bản đồ thấy nhà,32,32,30,60,0.02,https://brando.vn/che-do-xem-pho-cua-google-map/,0,0,0.00,0.29,128,"6, 6, 6, 6, 29, 6, 6, 6, 6, 6, 6, 100",2026-07-06,"Image pack, Sitelinks, Reviews, Video, Ads bottom, Video Carousel, Related searches, Ads middle",informational,Organic
