"Kính gửi Quý Khách hàng và Đối tác!
 BẢNG BÁO GIÁ BOOK BÀI PR BÁO ĐIỆN TỬ CHÍNH THỐNG STT","SITE","CÔNG TY TNHH PINNEXA RISE MEDIA  Mail: admin.pinnexarise@gmail.com Phone: 0865452568 (Available on Zalo) Địa chỉ: Tầng 1, V11-B09 Khu đô thị mới An Hưng, Phường Dương Nội, Thành phố Hà Nội, Việt Nam. STK: 23956868 - Tại Ngân hàng Thương Mại cổ phần Kỹ Thương Việt Nam (Techcombank) - Chi nhánh Nguyễn Cơ Thạch Tất cả báo giá WEBSITE","https://drive.google.com/drive/folders/1nniNfWWgE9fEARsTaLk9gW7M8BLwP_g9 DANH MỤC - VỊ TRÍ","SỐ LƯỢNG"," NIÊM YẾT","CHIẾU KHẤU","THÀNH TIỀN","SỐ LINK","GHI CHÚ","","","","","","","","","","","","","",""
"57","Elle","https://www.elle.vn/","Hiên thị trong chuyên mục","1","40.000.000","26,0%","29.600.000"," 1 link  ","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","60.000.000","26,0%","44.400.000","","","","","","","","","","","","","","","",""
"58","Dep.com.vn","https://dep.com.vn/","Mục phù hợp","1","8.000.000","25,0%","6.000.000"," 0 free link ","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link:1tr/link","","","","","","","","","","","","","",""
"","","","Trang chủ","1","12.000.000","25,0%","9.000.000","","","","","","","","","","","","","","","",""
"59","Yan","https://www.yan.vn/","Tiểu mụ̣c","1","4.500.000","30,0%","3.150.000","0 free link","Bài PR dưới 1000 từ, 5 ảnh
không bán link","","","","","","","","","","","","","",""
"60","Vnreview.vn","https://vnreview.vn/","Mục phù hợp","1","1.800.000","0,0%","1.800.000","","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"61","Thethao247","https://thethao247.vn/","Mục phù hợp","1","5.000.000","27,0%","3.650.000"," 1 link  ","Bài PR dưới 800 từ, dưới 3 ảnh
Thêm link:1tr/link","","","","","","","","","","","","","",""
"","","","Trang chủ","1","10.000.000","27,0%","7.300.000","","","","","","","","","","","","","","","",""
"62","Giaoducthoidai.vn","https://giaoducthoidai.vn/","Mục phù hợp","1","7.000.000","31,0%","4.830.000"," 1 link  ","Bài PR dưới 1000 từ, 4 ảnh","","","","","","","","","","","","","",""
"63","Theleader","https://theleader.vn/","Nhịp cầu kinh doanh","1","7.000.000","23,0%","5.390.000","","","","","","","","","","","","","","","",""
"","","","Bài số 2,3,4,5 Chuyên mục","1","10.000.000","23,0%","7.700.000","","Bài viết có nội dung dưới 1,000 chữ và tối đa 3 ảnh minh họa","","","","","","","","","","","","","",""
"64","Baoxaydung","https://baoxaydung.vn/","Mục cần biết","1","2.000.000","19,0%","1.620.000"," 0 link  ","Bài PR 800 từ, 2 ảnh
Thêm link:1tr/link","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","6.000.000","19,0%","4.860.000","","","","","","","","","","","","","","","",""
"","","","Trang chủ","1","17.000.000","19,0%","13.770.000","","","","","","","","","","","","","","","",""
"65","Hanoimoi","http://www.hanoimoi.com.vn/","Chuyên mục","1","6.000.000","18,0%","4.920.000","","","","","","","","","","","","","","","",""
"","","","Chuyên mục - Trang chủ","1","12.000.000","18,0%","9.840.000","","","","","","","","","","","","","","","",""
"66","Bongdaplus","https://bongdaplus.vn/","Chuyên mục","1","10.000.000","6,0%","9.400.000","","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","20.000.000","6,0%","18.800.000","","","","","","","","","","","","","","","",""
"66","Emdep.vn","https://emdep.vn/","Giữa mục","1","2.000.000","15,0%","1.700.000","1 link ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link:500K/link","","","","","","","","","","","","","",""
"","","","Đầu mục","1","3.000.000","15,0%","2.550.000","","","","","","","","","","","","","","","",""
"67","Plo.vn - Pháp luật TpHCM","https://plo.vn/","Tiểu mục","1","3.000.000","0,0%","3.000.000"," 2 link ","Tối đa 250 chữ 1 ảnh","","","","","","","","","","","","","",""
"68","Bazaarvietnam (Giá mới 2026)","","Tiểu mục phù hợp","1","31.200.000","19,0%","25.272.000","","","","","","","","","","","","","","","",""
"69","Congthuong.vn","https://congthuong.vn/","Mục phù hợp","1","5.000.000","8,0%","4.600.000"," 0 link","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link: 3tr/link
chỉ chèn được 1 link
","","","","","","","","","","","","","",""
"70","Phunumoi.net.vn","https://phunumoi.net.vn/","Mục phù hợp","1","3.000.000","15,0%","2.550.000"," 1 link ","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"71","Saigontiepthi","","Tiểu mục phù hợp","1","","15,0%","0","","","","","","","","","","","","","","","",""
"73","Vietgiaitri.com","https://vietgiaitri.com/","Mục phù hợp","1","3.000.000","18,0%","2.460.000"," 0 link ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 1tr/link","","","","","","","","","","","","","",""
"74","Otofun","https://www.otofun.net/","Bài PR 4","1","7.000.000","15,0%","5.950.000"," 1 link ","Bài PR dưới 800 từ, 3 ảnh","","","","","","","","","","","","","",""
"","","","Bài PR 3","1","15.000.000","15,0%","12.750.000","","","","","","","","","","","","","","","",""
"75","Bestie.vn","https://www.bestie.vn/","Tiểu mục","1","3.000.000","26,0%","2.220.000"," 0 free link ","Bài PR dưới 1000 từ, 5 - 8 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","8.000.000","26,0%","5.920.000","","","","","","","","","","","","","","","",""
"","","","Trang chủ","1","15.000.000","26,0%","11.100.000","","","","","","","","","","","","","","","",""
"76","Bongda24h.vn","https://bongda24h.vn/","Chuyên mục","1","3.500.000","10,0%","3.150.000"," 1 link  ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link:500K/link","","","","","","","","","","","","","",""
"","","","Trang chủ","1","5.500.000","10,0%","4.950.000","","","","","","","","","","","","","","","",""
"77","Bongda.com.vn","https://www.bongda.com.vn/","Chuyên mục","1","5.000.000","18,0%","4.100.000","","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","10.000.000","18,0%","8.200.000","","","","","","","","","","","","","","","",""
"78","Doanhnhanvn.vn","https://doanhnhanvn.vn/","Chuyên mục","1","3.000.000","24,0%","2.280.000"," 0 free link ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link:500K/link","","","","","","","","","","","","","",""
"","","","Trang chủ loại 1","1","8.000.000","24,0%","6.080.000","","","","","","","","","","","","","","","",""
"","","","Trang chủ loại 2","1","12.000.000","24,0%","9.120.000","","","","","","","","","","","","","","","",""
"79","Cungcau.vn","https://cungcau.vn/","Mục phù hợp","1","5.000.000","18,0%","4.100.000","1 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"80","Baodansinh.vn","https://baodansinh.vn/","Mục phù hợp","1","3.000.000","18,0%","2.460.000","2 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"81","Congluan","https://www.congluan.vn/","Mục phù hợp","1","15.000.000","9,0%","13.650.000","1 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","20.000.000","9,0%","18.200.000","","","","","","","","","","","","","","","",""
"82","Viez","https://viez.vn/","Chuyên mục","1","3.000.000","4,0%","2.880.000"," 0 link "," Thêm link:500K/link ","","","","","","","","","","","","","",""
"83","Molistar","https://molistar.com/","Chuyên mục","1","2.200.000","8,0%","2.024.000"," 1 link "," Thêm link:500K/link ","","","","","","","","","","","","","",""
"84","Vietcetera","https://vietcetera.com/","1 ngôn ngữ","1","25.000.000","3,0%","24.250.000"," 2 - 3 link ","","","","","","","","","","","","","","",""
"","","","Song Ngữ","1","30.000.000","3,0%","29.100.000","","","","","","","","","","","","","","","",""
"85","Nhandan","https://nhandan.vn/","Chuyên mục","1","10.000.000","8,0%","9.200.000"," 0 link ","","","","","","","","","","","","","","",""
"86","Kienviet","https://kienviet.net/","Chuyên mục","1","9.000.000","27,0%","6.570.000"," 0 free link ","Bài PR dưới 800 từ, 5 ảnh
Thêm link:500K/link","","","","","","","","","","","","","",""
"87","Baophapluat","https://baophapluat.vn/","Chuyên mục","1","10.000.000","25,0%","7.500.000","không chèn link","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","12.000.000","25,0%","9.000.000","","","","","","","","","","","","","","","",""
"89","Thethaovanhoa.vn","https://thethaovanhoa.vn/","pr doanh nghiêp","1","3.000.000","26,0%","2.220.000"," 1 link ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"","","","pr cá nhân","1","5.000.000","26,0%","3.700.000","","","","","","","","","","","","","","","",""
"91","Tuoitrethudo","https://tuoitrethudo.com.vn/","Tin ngắn ","1","3.000.000","16,0%","2.520.000"," 2 link ","Bài PR 300 chữ, 2 ảnh","","","","","","","","","","","","","",""
"","","","Bài PR trang nội dung","1","5.000.000","16,0%","4.200.000","","800 chữ, 3 ảnh, đc 2 link gắn trong từ khóa, không gắn link cuối bài
","","","","","","","","","","","","","",""
"92","Phunuvagiadinh","https://www.phunuvagiadinh.vn/","Top 5 trở xuống","1","4.000.000","28,0%","2.880.000"," 1 link ","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"93","Brandsvietnam.com","https://www.brandsvietnam.com/","Trang chủ","1","18.000.000","15,0%","15.300.000"," 1 link  ","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"94","Congan","https://congan.com.vn/","Tiểu mục phù hợp","1","5.000.000","13,0%","4.350.000","","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"96","Anninhthudo","https://www.anninhthudo.vn/","Mục phù hợp","1","5.000.000","33,0%","3.350.000"," 1 link  ","Bài PR dưới 1000 từ, dưới 2 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"","","","Trang chủ","1","10.000.000","33,0%","6.700.000","","","","","","","","","","","","","","","",""
"97","Vietbao","https://vietbao.vn/","Mục phù hợp","1","1.700.000","0,0%","1.700.000"," 2 link  ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","","30,0%","0","","","","","","","","","","","","","","","",""
"98","Vnmedia- tạm dừng","https://vnmedia.vn/","Mục phù hợp","1","4.000.000","","4.000.000"," 0 free ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"","","","Trang chủ","1","10.000.000","","10.000.000","","","","","","","","","","","","","","","",""
"99","Baogiaothong","https://www.baogiaothong.vn/","Cần biết","1","2.000.000","20,0%","1.600.000"," 1 link  ","","","","","","","","","","","","","","",""
"","","","Tiểu mục phù hợp","1","4.000.000","20,0%","3.200.000","","","","","","","","","","","","","","","",""
"100","Bienphong","https://www.bienphong.com.vn/","Mục phù hợp","1","1.750.000","0,0%","1.750.000"," 2 link  ","PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"101","Giadinhvaphapluat","https://giadinhvaphapluat.vn/","Mục phù hợp","1","1.350.000","0,0%","1.350.000"," 2 link ","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"102","Doanhnghiepvn","http://doanhnghiepvn.vn/","Mục phù hợp","1","4.000.000","24,0%","3.040.000","1 link ","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","6.000.000","24,0%","4.560.000","","","","","","","","","","","","","","","",""
"103","Cafedautu","https://cafedautu.vn/","Mục phù hợp","1","1.300.000","0,0%","1.300.000"," 0 free link ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"104","Sohuutritue.net.vn","https://sohuutritue.net.vn/","Mục phù hợp","1","1.700.000","0,0%","1.700.000","2 link","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"105","Baovanhoa.vn","http://baovanhoa.vn/","Mục phù hợp","1","6.000.000","23,0%","4.620.000"," 1 link  ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"106","Doanhnhan","https://doanhnhan.vn/","Tiểu mục","1","5.000.000","13,0%","4.350.000"," 1 link  ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","8.000.000","13,0%","6.960.000","","","","","","","","","","","","","","","",""
"107","Nhipsongdothi","https://nhipsongdothi.vn/","Mục phù hợp","1","2.000.000","18,0%","1.640.000"," 2 link  ","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"108","Phunusuckhoe","https://phunusuckhoe.vn/","Mục phù hợp","1","4.000.000","28,0%","2.880.000"," 2 link ","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"109","Tapchikientruc","https://www.tapchikientruc.com.vn/","Chuyên mục","1","8.000.000","21,0%","6.320.000","","","","","","","","","","","","","","","",""
"110","Phunuhiendai","https://phunuhiendai.vn/","Mục phù hợp","1","1.350.000","0,0%","1.350.000"," 2 link  ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"111","Congly","https://congly.vn/","Mục phù hợp","1","3.200.000","0,0%","3.200.000"," 0 free ","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"112","Doisongvietnam","https://doisongvietnam.vn/","Mục phù hợp","1","2.000.000","0,0%","2.000.000"," 0 free ","Bài PR dưới 1000 từ, dưới 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"113","Songdep","https://songdep.com.vn/","Mục phù hợp","1","2.000.000","18,0%","1.640.000"," 2 link ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"114","Ictvietnam","","Hiển thị trong tiểu mục","1","3.000.000","27,0%","2.190.000","1 link "," Dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"","","","Chọn lọc trang chủ","1","10.000.000","27,0%","7.300.000","","","","","","","","","","","","","","","",""
"115","Xehay","","Tiểu mục phù hợp","1","13.000.000","0,0%","13.000.000","","Độ dài không quá 1200 từ, 06 - 10 ảnh minh họa","","","","","","","","","","","","","",""
"116","Guu","","Mục phù hợp","1","2.300.000","0,0%","2.300.000",""," 1000 từ, 3 ảnh, 2 Link Dofollow","","","","","","","","","","","","","",""
"117","Advertisingvietnam","https://advertisingvietnam.com/","Trang chủ","1","17.000.000","14,0%","14.620.000","2 link","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"118","Giadinhmoi","https://giadinhmoi.vn/","Top 2,3,4","1","2.000.000","30,0%","1.400.000","2 link ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"","","","Top 1 chuyên mục","1","3.000.000","30,0%","2.100.000","","","","","","","","","","","","","","","",""
"","","","Top 1,2,3 trang chủ","1","5.000.000","30,0%","3.500.000","","","","","","","","","","","","","","","",""
"119","Megafun","http://megafun.vn/","Mục phù hợp","1","1.500.000","0,0%","1.500.000"," 0 free ","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"120","Tuoitrexahoi","https://tuoitrexahoi.vn/","Mục phù hợp","1","1.150.000","0,0%","1.150.000"," 2 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"121","Xaluannews","https://www.xaluannews.com/","Mục phù hợp","1","1.350.000","0,0%","1.350.000","1 link ","Bài PR dưới 1000 từ, dưới 3 ảnh","","","","","","","","","","","","","",""
"122","Xahoi.com.vn","https://xahoi.com.vn/","Chuyên mục","1","1.900.000","0,0%","1.900.000"," 2 link  ","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"123","Hoahoctro.tienphong.vn","https://hoahoctro.tienphong.vn/","Chuyên mục","1","3.000.000","28,0%","2.160.000","1 link ","Bài PR dưới 800 từ, 4 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ 
Tiêu điểm top 2 xuống","1","5.000.000","28,0%","3.600.000","","","","","","","","","","","","","","","",""
"127","Giaoduc.edu.vn 
(giaoduc Tp HCM)","https://giaoduc.edu.vn/","Tiểu mục phù hợp","1","3.000.000","15,0%","2.550.000"," 2 link  
","Bài PR dưới 1000 từ, 3 ảnh
","","","","","","","","","","","","","",""
"130","Vietnamplus.vn","https://www.vietnamplus.vn/","Chuyên mục","1","15.000.000","14,0%","12.900.000","0 free","Bài PR dưới 800 từ, 3 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","20.000.000","14,0%","17.200.000","","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"131","Vietnamfinance","https://vietnamfinance.vn/","Chuyên mục","1","12.000.000","31,0%","8.280.000","","","","","","","","","","","","","","","",""
"132","Doanhnhanplus.vn","https://doanhnhanplus.vn/","Trang chủ","1","12.000.000","8,0%","11.040.000","","","","","","","","","","","","","","","",""
"134","Sgtiepthi.vn","https://sgtt.thesaigontimes.vn/","thông tin DN","1","5.000.000","20,0%","4.000.000","2 link","Bài PR 450 từ, 1 ảnh","","","","","","","","","","","","","",""
"136","Travellive","https://vntravellive.com/","Tiểu mục phù hợp","1","10.000.000","23,0%","7.700.000","","","","","","","","","","","","","","","",""
"138","Công an nhân dân","https://cand.com.vn/","Mục phù hợp","1","5.000.000","14,0%","4.300.000","","","","","","","","","","","","","","","",""
"139","Kinhtedothi","https://kinhtedothi.vn/","Bài chuyên mục","1","3.000.000","23,0%","2.310.000","","","","","","","","","","","","","","","",""
"","","","Top chuyên muục","1","6.000.000","23,0%","4.620.000","","","","","","","","","","","","","","","",""
"140","Bizlive.vn","https://nhipsongkinhdoanh.vn/","Nhịp cầu doanh nghiệp","1","10.000.000","20,0%","8.000.000","","","","","","","","","","","","","","","",""
"142","Bau.vn","https://bau.vn/","Lấy link","1","1.400.000","0,0%","1.400.000","2 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"143","Molistar","https://molistar.com/","Chuyên mục","1","5.000.000","0,0%","5.000.000","1 link","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 500K/link","","","","","","","","","","","","","",""
"144","Baoquocte","https://baoquocte.vn/","Lấy link","1","2.200.000","0,0%","2.200.000","","1000 chữ, 5 ảnh, 1 triệu/link","","","","","","","","","","","","","",""
"145","Otosaigon (Giá mới 2026)","https://www.otosaigon.com/","Mục phù hợp","1","17.000.000","7,0%","15.810.000","1 link","Bài PR dưới 1600 từ, 10 ảnh","","","","","","","","","","","","","",""
"147","Thuonghieucongluan","https://thuonghieucongluan.com.vn/","Mục phù hợp","1","2.000.000","6,0%","1.880.000","1 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"151","Autodaily","https://forum.autodaily.vn/","Mục phù hợp","1","12.000.000","9,0%","10.920.000","","Dưới 600 từ, 3 ảnh, chèn link mất phí 3tr/link","","","","","","","","","","","","","",""
"153","Homedecorplus","https://homedecorplus.vn/","Mục phù hợp","1","","11,0%","0","","","","","","","","","","","","","","","",""
"154","2Game","https://2game.vn/","Tin thường","1","2.000.000","11,0%","1.780.000","3 link","Bài PR dưới 800 từ, 3 ảnh","","","","","","","","","","","","","",""
"","","","Tin nổi bật","1","3.000.000","11,0%","2.670.000","","","","","","","","","","","","","","","",""
"155","Lofficielvietnam","https://www.lofficielvietnam.com/","Chuyên mục","1","25.000.000","14,0%","21.500.000","1 link","Bài PR dưới 1000 từ, 8 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","28.000.000","14,0%","24.080.000","","","","","","","","","","","","","","","",""
"156","Elleman","https://www.elleman.vn/","","1","","23,0%","0","","","","","","","","","","","","","","","",""
"158","Xedoisong","https://xedoisong.vn/","Mục phù hợp","1","8.000.000","3,0%","7.760.000","","Bài PR dưới 800 từ, 4 ảnh","","","","","","","","","","","","","",""
"159","Otoxemay.vn","https://otoxemay.vn/","Mục phù hợp","1","4.000.000","25,0%","3.000.000","","","","","","","","","","","","","","","",""
"162","Bestie.vn","https://www.bestie.vn/","Tiểu mục","1","3.000.000","20,0%","2.400.000"," 
0 free ","Bài PR dưới 1000 từ, 5-8 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"","","","Chuyên mục","1","8.000.000","23,0%","6.160.000","","","","","","","","","","","","","","","",""
"","","","Trang chủ","1","15.000.000","23,0%","11.550.000","","","","","","","","","","","","","","","",""
"163","Tcdulichtphcm.vn","https://tcdulichtphcm.vn/","Chuyên mục","1","4.000.000","18,0%","3.280.000","","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"165","Elledecoration","https://www.elledecoration.vn/","Mục phù hợp","1","40.000.000","24,0%","30.400.000","1 link","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"","","","Trang chủ","1","60.000.000","24,0%","45.600.000","","","","","","","","","","","","","","","",""
"166","Tintuconline","https://tintuconline.com.vn/","Tiểu mục","1","2.500.000","23,0%","1.925.000"," 0 free ","Bài PR dưới 1000 từ, 5 ảnh
Thêm link: 5tr/link","","","","","","","","","","","","","",""
"167","Giaoduc.net","https://giaoduc.net/","Trang chuyên mục tương ứng","1","10.000.000","5,0%","9.500.000","1 link
","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"168","Techrum","https://techrum.vn/","Mục phù hợp","1","6.000.000","5,0%","5.700.000","","","","","","","","","","","","","","","",""
"169","Doisongvietnam.vn","https://doisongvietnam.vn/","Mục phù hợp","1","3.000.000","23,0%","2.310.000","0 free","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"170","Baotintuc.vn","https://baotintuc.vn/","Mục phù hợp","1","4.200.000","0,0%","4.200.000","0 free","Bài 1000 từ + 2 ảnh + 1 link dạng text (mua 2 ảnh thêm phí 500k/ảnh,1 bài không quá 4 ảnh)","","","","","","","","","","","","","",""
"171","Nông nghiệp môi trường","https://nongnghiepmoitruong.vn/","Chuyên mục","1","10.000.000","23,0%","7.700.000","0 free","Bài PR dưới 1000 từ, 4 ảnh
Thêm link: 2tr/link","","","","","","","","","","","","","",""
"","","","Tiêu điểm trang chủ","1","12.000.000","23,0%","9.240.000","","","","","","","","","","","","","","","",""
"","","","Nóng trang chủ","1","15.000.000","23,0%","11.550.000","","","","","","","","","","","","","","","",""
"172","VietQ.vn","https://vietq.vn/","Mục phù hợp","1","3.500.000","25,0%","2.625.000","1 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"185","phunuhiendai.vn","https://phunuhiendai.vn/","Mục phù hợp","1","1.500.000","30,0%","1.050.000","2 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"186","Giadinhvaphapluat.vn","https://giadinhvaphapluat.vn/","Mục phù hợp","1","1.400.000","0,0%","1.400.000","2 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"189","Songdep.com.vn","https://songdep.com.vn/","Mục phù hợp","1","1.350.000","0,0%","1.350.000","2 link","Bài PR dưới 1000 từ, 3 ảnh
Thêm link: 300K/link","","","","","","","","","","","","","",""
"190","Suckhoeviet.org.vn","https://suckhoeviet.org.vn/","Mục phù hợp","1","3.000.000","18,0%","2.460.000","2 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"195","Vnfinance.vn","https://vnfinance.vn/","Mục phù hợp","1","2.750.000","0,0%","2.750.000","2 link","Bài PR dưới 1000 từ, 5 ảnh","","","","","","","","","","","","","",""
"196","Đầu tư Việt Nam","https://Dautuvietnam.com.vn","Mục phù hợp","1","1.500.000","0,0%","1.500.000","2 link","Bài PR dưới 1000 từ, 3 ảnh","","","","","","","","","","","","","",""
"","* Giá chưa bao gồm thuế VAT (8%).","","","","","","","","","","","","","","","","","","","","","",""
"","* Rất mong nhận được đơn đặt hàng của Quý Khách./                                                                ","","","","","","","","","","","","","","","","","","","","","",""
"","* Note: Đơn giá sẽ áp dụng theo quy định của đơn vị chủ quản, tại thời điểm book bài. Báo giá có thể thay đổi mà chưa kịp báo trước, khách hàng vui lòng liên hệ saler để check lại trước khi gửi bài/plan/job                                                                        ","","","","","","","","","","","","","","","","","","","","","",""
"","* Thanh toán theo thoả thuận","","","","","","","","","","","","","","","","","","","","","",""
"","PINNEXA RISE MEDIA CAM KẾT BÁO GIÁ CHUẨN THEO GIÁ NIÊM YẾT CỦA BÁO - CHIẾT KHẤU TỐI ƯU NHẤT","","","","","","","","","","","","","","","","","","","","","",""
"","Mong sớm nhận được sự hợp tác từ Quý khách hàng và đối tác!","","","","","","","","","","","","","","","","","","","","","",""
